title,author,publisher,isbn,year,pages
Human Behavior Understanding in Networked Sensing - Theory and Applications of Networks of Sensors,,Springer,978-3-319-10806-3,2014,
Accelerated Optimization for Machine Learning - First-Order Algorithms,Zhouchen Lin::Huan Li 0007::Cong Fang 0001,Springer,978-981-15-2909-2,2020,275
"Java and the Java Virtual Machine: Definition, Verification, Validation",Robert F. Stärk::Joachim Schmid 0001::Egon Börger,Springer,,2001,
User-centric Social Multimedia Computing,Jitao Sang,Springer,978-3-662-44670-6::978-3-662-44671-3,2014,103
Becoming a data-driven Organisation - Unlock the value of data,Martin Treder,Springer Vieweg,978-3-662-60303-1,2019,137
Kommissionierung: Materialflusssysteme 2 - Planung und Berechnung der Kommissionierung in der Logistik.,Michael ten Hompel::Volker Sadowsky::Maria Beck,Springer,978-3-540-29622-5,2011,
"Service Level Management in Cloud Computing - Pareto-Efficient Negotiations, Reliable Monitoring, and Robust Monitor Placement",Melanie Holloway,Springer Vieweg,978-3-658-18772-9,2017,250
GAG: A Practical Compiler Generator,Uwe Kastens::Brigitte Hutt::Erich Zimmermann,Springer,3-540-11591-9,1982,
"Digital Signature Schemes, General Framework and Fail-Stop Signatures",Birgit Pfitzmann,Springer,3-540-61517-2,1996,
On the Shape of Mathematical Arguments,A. J. M. van Gasteren,Springer,3-540-52849-0,1990,
Qualitative Spatial Reasoning with Topological Information,Jochen Renz,Springer,3-540-43346-5,2002,
"Image Texture Analysis - Foundations, Models and Algorithms",Chih-Cheng Hung::Enmin Song::Yihua Lan,Springer,978-3-030-13772-4,2019,258
Time Domain Representation of Speech Sounds - A Case Study in Bangla,Asoke Kumar Datta,Springer,978-981-13-2302-7,2018,154
Cloud and Serverless Computing for Scientists - A Primer,Juan A. Añel::Diego P. Montes::Javier Rodeiro Iglesias,Springer,978-3-030-41783-3,2020,78
Visual Content Indexing and Retrieval with Psycho-Visual Models,,Springer,978-3-319-57686-2::978-3-319-57687-9,2017,
Modeling Attack Security of Physical Unclonable Functions based on Arbiter PUFs,Nils Wisiol,Springer,978-3-031-29206-4,2023,98
"Infrared Small Target Detection - Theory, Methods, and Algorithms.",Hu Zhu::Yushan Pan::Lizhen Deng::Guoxia Xu,Springer,978-981-99-9798-5,2024,168
When 5G Meets Industry 4.0,Xiwen Wang::Longxiang Gao,Springer,978-981-15-6731-5,2020,120
"Multi-Agent Programming: Languages, Platforms and Applications",,Springer,0-387-24568-5,2005,
Web Service Implementation and Composition Techniques,Hye-Young Paik::Angel Lagares Lemos::Moshe Chai Barukh::Boualem Benatallah::Aarthi Natarajan,Springer,978-3-319-55540-9,2017,256
"Primality Testing in Polynomial Time, From Randomized Algorithms to ""PRIMES Is in P""",Martin Dietzfelbinger,Springer,3-540-40344-2,2004,
On Sets and Graphs: Perspectives on Logic and Combinatorics,Eugenio G. Omodeo::Alberto Policriti::Alexandru I. Tomescu,Springer,978-3-319-54981-1::978-3-319-54980-4,2017,
Bridging the Academia Industry Divide - Innovation and Industrialisation Perspective using Systems Thinking Research in Sub-Saharan Africa,Wilson R. Nyemba::Charles Mbohwa::Keith F. Carter,Springer,978-3-030-70492-6,2021,296
Stereoscopic Image Quality Assessment,Yong Ding::Guangming Sun,Springer,978-981-15-7763-5,2020,169
The Stationary Bionic Wavelet Transform and its Applications for ECG and Speech Processing,Talbi Mourad,Springer,978-3-030-93404-0,2022,81
"Wireless Sensor Networks - Security, Coverage, and Localization",Rastko R. Selmic::Vir V. Phoha::Abdul Serwadda,Springer,978-3-319-46767-2::978-3-319-46769-6,2016,215
E-Business Essentials - Building a Successful Online Enterprise,Hamed Taherdoost,Springer,978-3-031-39625-0,2023,402
Learning Java Programming in Clara's World,Anton Bogdanovych::Tomas Trescak,Springer,978-3-030-75541-6,2021,293
Organic Computing - A Paradigm Shift for Complex Systems,,Springer,,2011,
Logical Foundations of Cyber-Physical Systems,André Platzer,Springer,978-3-319-63587-3,2018,639
Understanding and Changing the World - From Information to Knowledge and Intelligence,Joseph Sifakis,Springer,978-981-19-1931-2,2022,158
Computer Programs for Spelling Correction: An Experiment in Program Design,James L. Peterson,Springer,3-540-10259-0,1980,
Game Development with Construct 2 - From Design to Realization,Lee Stemkoski::Evan Leider,Apress,978-1-4842-2783-1,2017,240
"Introduction to Intelligent Surveillance - Surveillance Data Capture, Transmission, and Analytics, Second Edition",Wei Qi Yan 0001,Springer,978-3-319-60227-1,2017,191
Modern Business Process Automation - YAWL and its Support Environment,,Springer,978-3-642-03120-5,2010,
Datenbanksysteme für Software-Produktionsumgebungen,Willi Gotthard,Springer,3-540-50539-3,1988,193
Mobility Data Management and Exploration,Nikos Pelekis::Yannis Theodoridis,Springer,978-1-4939-0391-7::978-1-4939-0392-4,2014,298
"The Traveling Salesman, Computational Solutions for TSP Applications",Gerhard Reinelt,Springer,3-540-58334-3,1994,
Matchmaking in Electronic Markets - An Agent-Based Approach towards Matchmaking in Electronic Negotiations,Daniel Veit,Springer,3-540-20500-4,2003,
Out of Their Minds: The Lives and Discoveries of 15 Great Computer Scientists.,Cathy A. Lazere::Dennis E. Shasha,"Copernicus Books, an imprint of Springer-Verlag",0-387-98269-8,1998,291
Automated Modeling of Physical Systems,P. Pandurang Nayak,Springer,3-540-60641-6,1995,232
"Error Systems: Concepts, Theory and Applications, 4",Kaizhong Guo::Shiyong Liu,Springer,978-3-030-40759-9,2020,322
Soft Computing for Image and Multimedia Data Processing,Siddhartha Bhattacharyya::Ujjwal Maulik,Springer,978-3-642-40254-8,2013,267
"Music, Mathematics and Language - The New Horizon of Computational Musicology Opened by Information Science",Keiji Hirata 0001::Satoshi Tojo::Masatoshi Hamanaka,Springer,978-981-19-5165-7,2022,228
Z2Z4-Linear Codes,Joaquim Borges::Cristina Fernández-Córdoba::Jaume Pujol::Josep Rifà::Mercè Villanueva,Springer,978-3-031-05440-2,2022,245
Komplexitätstheorie und Kryptologie. Eine Einführung in Kryptokomplexität.,Jörg Rothe,Springer,978-3-540-79744-9,2008,
Document Image Analysis - Current Trends and Challenges in Graphics Recognition,KC Santosh,Springer,978-981-13-2338-6,2018,174
Explainable Artificial Intelligence for Intelligent Transportation Systems - Ethics and Applications,Loveleen Gaur::Biswa Mohan Sahoo,Springer,978-3-031-09643-3,2022,90
Fuzzy Logic-Based Algorithms for Video De-Interlacing,Piedad Brox Jiménez::Iluminada Baturone::Santiago Sánchez-Solano,Springer,978-3-642-10694-1,2010,168
Co-governed Sovereignty Network - Legal Basis and Its Prototype & Applications with MIN Architecture,Hui Li 0022::Xin Yang 0019,Springer,978-981-16-2669-2,2021,257
Quality of Experience Modeling for Cloud Gaming Services,Saman Zadtootaghaj,Springer,978-3-030-98248-5,2022,149
Software Frameworks and Embedded Control Systems,Alessandro Pasetti,Springer,3-540-43189-6,2002,293
"Introduction to Digital Communications, Second Edition",Joachim Speidel,Springer,978-3-030-67356-7,2021,325
"Participatory Sensing, Opinions and Collective Awareness",,Springer,978-3-319-25656-6,2017,
Autonomy and Artificial Intelligence: A Threat or Savior?,,Springer International Publishing,978-3-319-59718-8::978-3-319-59719-5,2017,
"Scientific Computing and Algorithms in Industrial Simulations, Projects and Products of Fraunhofer SCAI.",,Springer,978-3-319-62457-0::978-3-319-62458-7,2017,
50 Jahre Universitäts-Informatik in München,,Springer,978-3-662-54711-3::978-3-662-54712-0,2017,
Service Business Model Innovation in Healthcare and Hospital Management,,Springer,978-3-319-46412-1,2017,
Interactive Granular Computations in Networks and Systems Engineering: A Practical Perspective,Andrzej Jankowski,Springer,978-3-319-57626-8::978-3-319-57627-5,2017,
Conversations Around Semiotic Engineering,,,978-3-319-56290-2::978-3-319-56291-9,2017,
"Human-Harmonized Information Technology, Volume 2, Horizontal Expansion",,Springer,978-4-431-56533-8::978-4-431-56535-2,2017,
"Formal Verification of Simulink/Stateflow Diagrams, A Deductive Approach.",,Springer,978-3-319-47014-6::978-3-319-47016-0,2017,
"Interpreting LISP - Programming and Data Structures, Second Edition",Gary D. Knott,Apress,978-1-4842-2706-0::978-1-4842-2707-7,2017,
"New Technology, Big Data and the Law",,Springer,978-981-10-5037-4,2017,
Invasive Computing for Mapping Parallel Programs to Many-Core Architectures.,Andreas Weichslgartner::Stefan Wildermann::Michael Glaß::Jürgen Teich,Springer,978-981-10-7355-7::978-981-13-5622-3::978-981-10-7356-4,2018,164
Mathematical Modelling for Next-Generation Cryptography: CREST Crypto-Math Project,,Springer Singapore,978-981-10-5064-0,2017,
Deep Learning Based Speech Quality Prediction,Gabriel Mittag,Springer,978-3-030-91478-3,2022,144
"Simple Type Theory - A Practical Logic for Expressing and Reasoning About Mathematical Ideas, Second Editiontion",William M. Farmer,Springer,978-3-031-85351-7,2025,245
Exploring Robotics with ROBOTIS Systems. Second Edition.,Chi N. Thai,Springer International Publishing,978-3-319-59830-7,2017,342
Digitale Hardware/Software-Systeme: Spezifikation und Verifikation,Christian Haubelt::Jürgen Teich,Springer,978-3-642-05355-9,2010,
"Agent-Oriented Software Engineering - Reflections on Architectures, Methodologies, Languages, and Frameworks",,Springer,978-3-642-54431-6,2014,
The Journey to Enterprise Agility - Systems Thinking and Organizational Legacy,Daryl Kulak::Hong Li,Springer,978-3-319-54086-3::978-3-319-54087-0,2017,286
PISA: A Programming System for Interactive Production of Application Software,Rudolf Marty,Springer,3-540-10825-4,1981,
Building and Using Comparable Corpora.,,Springer Berlin Heidelberg,978-3-642-20127-1::978-3-642-20128-8,2013,
Intelligent Transport System in Smart Cities - Aspects and Challenges of Vehicular Networks and Cloud,Rodolfo I. Meneguette::Robson E. De Grande::Antonio A. F. Loureiro,Springer,978-3-319-93331-3,2018,182
"Wi-Fi 7 - Principles, Technology, and Applications",Gang Cheng::Zhihong Qian::Yiming Jiang 0019::Zhijie Yang::Thirumurthy Rajamanickam,Springer,978-981-97-9025-8,2025,464
"Cyberwarfare - Threats to Critical Infrastructure, 5",Kristan Stoddart,Springer,978-3-030-97298-1,2022,429
Low Level X Window Programming - An Introduction by Examples,Ross J. Maloney,Springer,978-3-319-74249-6,2017,264
The C# Programmer's Study Guide (MCSD) - Exam: 70-483,Ali Asad::Hamza Ali,Apress,978-1-4842-2859-3,2017,475
On-Line Trajectory Generation in Robotic Systems - Basic Concepts for Instantaneous Reactions to Unforeseen (Sensor) Events,Torsten Kröger,Springer,978-3-642-05174-6,2010,184
The Book of Chatbots - From ELIZA to ChatGPT,Robert Ciesla,Springer,978-3-031-51003-8,2024,159
Guide to Distributed Simulation with HLA,Okan Topçu::Halit Oguztüzün,Springer,978-3-319-61266-9,2017,291
Search Engines for Children - Search User Interfaces and Information-Seeking Behaviour,Tatiana Gossen,Springer,978-3-658-12068-9::978-3-658-12069-6,2015,283
Automated Machine Learning and Meta-Learning for Multimedia,Wenwu Zhu 0001::Xin Wang 0019,Springer,978-3-030-88131-3,2021,224
Performance Assessment for Process Monitoring and Fault Detection Methods,Kai Zhang 0015,Springer Vieweg,978-3-658-15970-2::978-3-658-15971-9,2016,153
High-Performance Computing on the Intel® Xeon Phi™ - How to Fully Exploit MIC Architectures,Endong Wang::Qing Zhang::Bo Shen::Guangyong Zhang::Xiaowei Lu::Qing Wu::Yajuan Wang,Springer,978-3-319-06485-7::978-3-319-06486-4,2014,321
Monitoring Multimode Continuous Processes - A Data-Driven Approach,Marcos Quiñones-Grueiro::Orestes Llanes-Santiago::Antônio José da Silva Neto,Springer,978-3-030-54737-0,2021,153
Introduction to Discrete Event Systems,Christos G. Cassandras::Stéphane Lafortune,Springer,978-1-4757-4072-1::978-1-4757-4070-7,1999,823
"Getting Rid of Cybersickness - In Virtual Reality, Augmented Reality, and Simulators",Andras Kemeny::Jean-Rémy Chardonnet::Florent Colombet,Springer,978-3-030-59341-4,2020,146
Network Security Metrics,Lingyu Wang 0001::Sushil Jajodia::Anoop Singhal,Springer,978-3-319-66504-7,2017,207
Experimentation in Software Engineering - An Introduction,Claes Wohlin::Per Runeson::Martin Höst::Magnus C. Ohlsson::Björn Regnell,Kluwer,978-1-4613-7091-8::978-1-4615-4625-2,2000,204
Liderança com Synercube - Uma cultura de liderança dinâmica voltada para a excelência,Anatoly Zankovsky::Christiane von der Heiden,Springer,978-3-662-55605-4,2017,243
Secure Networked Inference with Unreliable Data Sources,Aditya Vempaty::Bhavya Kailkhura::Pramod K. Varshney,Springer,978-981-13-2311-9,2018,208
Advances in Stochastic and Deterministic Global Optimization.,,Springer,978-3-319-29973-0::978-3-319-29975-4,2016,
Understanding Intrusion Detection Through Visualization,Stefan Axelsson::David Sands,Springer,978-0-387-27634-2,2006,145
"Enterprise Architecture Function - A Pattern Language for Planning, Design and Execution",Ingo Arnold,Springer,978-3-030-84588-9,2022,521
"Jim Dator: A Noticer in Time - Selected work, 1967-2018",Jim Dator,Springer,978-3-030-17386-9,2019,471
"Mathematical Tools for Data Mining - Set Theory, Partial Orders, Combinatorics. Second Edition.",Dan A. Simovici::Chabane Djeraba,Springer,978-1-4471-6406-7::978-1-4471-6407-4,2014,817
Case-Based Approximate Reasoning,Eyke Hüllermeier,Springer,978-1-4020-5694-9,2007,
Principles of Imprecise-Information Processing - A New Theoretical and Technological System,Shiyou Lian,Springer,978-981-10-1547-2::978-981-10-1549-6,2016,648
Information Processing and Security Systems.,,Springer,978-0-387-25091-5::978-0-387-26325-0,2005,
Convex Analysis and Monotone Operator Theory in Hilbert Spaces,Heinz H. Bauschke::Patrick L. Combettes,Springer,978-1-4419-9466-0::978-1-4419-9467-7,2011,468
Enterprise Ontology - A Human-Centric Approach to Understanding the Essence of Organisation,Jan L. G. Dietz::Hans B. F. Mulder,Springer,978-3-030-38853-9,2020,450
"Understanding Network Hacks - Attack and Defense with Python 3, Second Edition",Bastian Ballmann,Springer,978-3-662-62156-1,2021,173
Processing Big Data with Azure HDInsight - Building Real-World Big Data Systems on Azure HDInsight Using the Hadoop Ecosystem,Vinit Yadav,Apress,978-1-4842-2868-5,2017,207
"Internet Computing - Principles of Distributed Systems and Emerging Internet-Based Technologies, Second Edition",Ali Sunyaev,Springer,978-3-031-61013-4,2024,393
Mission-Oriented Sensor Networks and Systems: Art and Science - Volume 1: Foundations,,Springer,978-3-319-91145-8::978-3-319-91146-5,2019,
Brain Fingerprint Identification,Wanzeng Kong::Xuanyu Jin,Springer,978-981-96-4511-4,2025,190
Algorithms and Architectures for Cryptography and Source Coding in Non-Volatile Flash Memories,Malek Safieh,Springer,978-3-658-34458-0,2021,132
Probability for Information Technology,Changho Suh,Springer,978-981-97-4031-4,2025,353
Internet Access in Vehicular Networks,Wenchao Xu 0001::Haibo Zhou::Xuemin (Sherman) Shen,Springer,978-3-030-88990-6,2021,165
"Coroutines: A Programming Methodology, a Language Design and an Implementation",Chris D. Marlin,Springer,3-540-10256-6,1980,
Algorithms Unplugged,,Springer,978-3-642-15327-3,2011,
Digital Signal Processing - Illustration Using Python,Sankaralingam Esakkirajan::Thangaraj Veerakumar::Badri N. Subudhi,Springer,978-981-99-6751-3,2024,523
Possibility for Decision - A Possibilistic Approach to Real Life Decisions,Christer Carlsson::Robert Fullér,Springer,978-3-642-22641-0,2011,249
Modeling and Control for Efficient Bipedal Walking Robots - A Port-Based Approach,Vincent Duindam::Stefano Stramigioli,Springer,978-3-540-89917-4,2009,174
"Einführung in Computational Social Choice: Individuelle Strategien und kollektive Entscheidungen beim Spielen, Wählen und Teilen.",Jörg Rothe::Dorothea Baumeister::Claudia Lindner 0001::Irene Rothe,Springer Spektrum,978-3-8274-2570-6,2011,
Fuzzy Equational Logic,Radim Belohlávek::Vilém Vychodil,Springer,978-3-540-26254-1,2005,266
Dependency Structures and Lexicalized Grammars An Algebraic Approach,Marco Kuhlmann,Springer,978-3-642-14567-4,2010,137
"Abstract Compositional Analysis of Iterated Relations, A Structural Approach to Complex State Transition Systems.",Frédéric Geurts,Springer,3-540-65506-9,1998,
"Semirings, Automata, Languages",Werner Kuich::Arto Salomaa,Springer,3-540-13716-5::978-3-642-69961-0::978-3-642-69959-7,1986,374
Practical Post-Quantum Signatures - FALCON and SOLMAE with Python,Kwangjo Kim,Springer,978-3-031-81249-1,2025,80
"Calculus for Computer Graphics, Third Edition",John Vince,Springer,978-3-031-28116-7,2023,379
"Incomplete Information: Structure, Inference, Complexity",Stéphane Demri::Ewa Orlowska,Springer,3-540-41904-7::978-3-642-07540-7::978-3-662-04997-6,2002,408
The Modern Business Data Analyst - A Case Study Introduction into Business Data Analytics with CRISP-DM and R,Dominik Jung,Springer,978-3-031-59906-4,2024,296
"Experience Management: Foundations, Development Methodology, and Internet-Based Applications",Ralph Bergmann,Springer,3-540-44191-3,2002,
"Economics and Computation, An Introduction to Algorithmic Game Theory, Computational Social Choice, and Fair Division",,Springer,978-3-662-47903-2::978-3-662-47904-9,2016,
Large Language Models: A Deep Dive - Bridging Theory and Practice,Uday Kamath::Kevin Keenan::Garrett Somers::Sarah Sorenson,Springer,978-3-031-65646-0,2024,472
Korrekte Zugriffe zu verteilten Daten,Heinz Bender,Springer,3-540-12282-6,1983,
"Processing, Estimation and Measurement of Signals Parameters in Public Distribution Networks",Predrag Petrovic 0001,Springer,978-3-031-43106-7,2024,188
Designing Aircraft Simulators,Nikolay Kondratyevich Yurkov::Nina Ivanovna Romancheva::Dmitry Alexandrovich Zatuchny::Evgeny Yuryevich Goncharov,Springer,978-981-19-6186-1,2022,144
Collaborative Virtual Environments,,Springer,978-1-85233-244-0,2001,
Digital Image Analysis - Selected Techniques and Applications,,Springer,978-0-387-95066-2::978-0-387-21643-0,2001,
Microphone Arrays - Signal Processing Techniques and Applications,,Springer,978-3-642-07547-6,2001,
Data Fusion and Perception,,Springer,978-3-211-83683-5,2001,
Managing the Change: Software Configuration and Change Management,,Springer,978-3-540-41785-9,2001,
CSCW-Kompendium,,Springer,978-3-540-67552-5,2001,
Perspectives on Enclosure Methods,,Springer,978-3-211-83590-6,2001,
Lectures in E-Commerce,,Springer,978-3-211-83623-1,2001,
Soft Computing in Case Based Reasoning,,Springer,978-1-85233-262-4,2001,
"Statistische Signale, Grundlagen und Anwendungen.",,Springer,978-3-642-62579-4::978-3-642-56674-5,2001,
Practitioner's Guide to Health Informatics,Mark L. Braunstein,Springer,978-3-319-17661-1::978-3-319-17662-8,2015,162
Multi-Objective Optimization - Evolutionary to Hybrid Framework,,Springer,978-981-13-1470-4::978-981-13-1471-1,2018,
Dynamics of Mobile Systems with Controlled Configuration,Felix L. Chernousko::Nikolay Bolotnik,Springer,978-981-97-1824-5,2024,450
Handbook on Ontologies,,Springer,3-540-40834-7,2004,
Personalinformationssysteme in deutschen Großunternehmen: Ausbaustand und Rechtsprobleme,Wolfgang Kilian::Thomas Heissner::Brigitte Maschmann-Schulz,Springer,3-540-10643-X,1981,
"Fundamentals of Enterprise Architecture Management - Foundations for Steering the Enterprise-Wide Digital System, 2",Jörg Ziemann,Springer,978-3-030-96733-8,2022,204
"Input/Output Intensive Massively Parallel Computing - Language Support, Automatic Parallelization, Advanced Optimization, and Runtime Systems",Peter Brezany,Springer,3-540-62840-1,1997,
Error Logic: Paving Pathways for Intelligent Error Identification and Management,Shiyong Liu::Kaizhong Guo,Springer,978-3-031-00819-1,2023,608
Toward a Conceptual Network for the Private Law of Artificial Intelligence,Pawel Ksiezak::Sylwia Wojtczak,Springer,978-3-031-19446-7,2023,296
Youn-Long Steve Lin,Daniel D. Gajski::Nikil D. Dutt::Allen C.-H. Wu,Springer,978-1-4613-6617-1::978-1-4615-3636-9,1992,359
Von Datenbanken zu Expertensystemen,Hans-Jürgen Appelrath,Springer,3-540-15655-0,1985,
Probability and Statistics for Computer Science,David A. Forsyth,Springer,978-3-319-64409-7,2018,359
Performance Analysis of Computer Networks,Matthew N. O. Sadiku::Sarhan M. Musa,Springer,978-3-319-01645-0,2013,279
Multiplicative Inverse Functional Equations - Theory and Applications,B. V. Senthil Kumar::Hemen Dutta,Springer,978-3-030-45354-1,2020,109
Using Microsoft Dynamics AX 2009,Andreas Luszczak,Springer,978-3-8348-0482-2::978-3-8348-9372-7,2010,341
Multimodal Video Characterization and Summarization.,Michael A. Smith 0002::Takeo Kanade,Springer,978-1-4020-7426-4::978-0-387-23008-5,2005,204
"Low-Level Programming - C, Assembly, and Program Execution on Intel - ® - 64 Architecture",Igor Zhirkov,Apress,978-1-4842-2402-1,2017,435
Datenbanksysteme: Konzepte und Techniken der Implementierung,Theo Härder::Erhard Rahm,Springer,3-540-65040-7,1999,
"Artificial Intelligence-Empowered Bio-medical Applications - Challenges, Solutions and Development Guidelines",Dimitrios P. Panagoulias::George A. Tsihrintzis::Maria Virvou,Springer,978-3-031-90173-7,2025,285
Kernel Methods for Machine Learning with Math and R - 100 Exercises for Building Logic,Joe Suzuki,Springer,978-981-19-0397-7,2022,196
Algorithms for Constructing Computably Enumerable Sets,Kenneth J. Supowit,Springer,978-3-031-26903-5,2023,163
"Information Systems Reengineering, Integration and Normalization - Heterogeneous Database Connectivity, 4th Edition",Joseph S. P. Fong::Kenneth Wong Ting Yan,Springer,978-3-030-79583-2,2021,384
Interacting Code Motion Transformations: Their Impact and Their Complexity.,Oliver Rüthing,Springer,3-540-65510-7,1998,
Blogosphere and its Exploration,Christoph Meinel::Justus F. M. Broß::Philipp Berger 0001::Patrick Hennig,Springer,978-3-662-44408-5::978-3-662-44409-2,2015,244
Mapping Scientific Frontiers: The Quest for Knowledge Visualization,Chaomei Chen,Springer,1-85233-494-0,2003,
Algorithmic Randomness and Complexity.,Rodney G. Downey::Denis R. Hirschfeldt,Springer,978-0-387-95567-4,2010,766
"Paragon: A Language Using Type Hierarchies for the Specification, Implementation and Selection of Abstract Data Types",Mark Steven Sherman,Springer,3-540-15212-1,1985,
A Guided Tour of Artificial Intelligence Research: Volume II: AI Algorithms,,Springer,978-3-030-06166-1::978-3-030-06167-8,2020,
"Cyber and Digital Forensic Investigations, A Law Enforcement Practitioner's Perspective.",,Springer,978-3-030-47130-9::978-3-030-47131-6,2020,
Fundamentals of Software Startups - Essential Engineering and Business Aspects,,Springer,978-3-030-35982-9::978-3-030-35983-6,2020,
Web Recommendations Systems.,K. R. Venugopal 0001::K. C. Srikantaiah::Sejal Santosh Nimbhorkar,Springer,978-981-15-2512-4::978-981-15-2513-1,2020,
"Blockchain - Grundlagen, Anwendungsszenarien und Nutzungspotenziale",,Springer Fachmedien Wiesbaden,978-3-658-28006-2,2020,
Decision Making under Constraints,,Springer,978-3-030-40813-8::978-3-030-40814-5,2020,
"Digital Forensic Education, An Experiential Learning Approach.",,Springer,978-3-030-23546-8::978-3-030-23547-5,2020,
"Microservices, Science and Engineering.",,Springer,978-3-030-31645-7::978-3-030-31646-4,2020,
Full-Duplex Communications for Future Wireless Networks,,Springer,978-981-15-2968-9::978-981-15-2969-6,2020,
The CAPTCHA: Perspectives and Challenges - Perspectives and Challenges in Artificial Intelligence.,Darko Brodic::Alessia Amelio,Springer,978-3-030-29344-4::978-3-030-29345-1,2020,
Knowledge Engineering Tools and Techniques for AI Planning,,Springer,978-3-030-38560-6::978-3-030-38561-3,2020,
New Trends in Robot Control,,Springer,978-981-15-1818-8::978-981-15-1819-5,2020,
"Handbook of Computer Networks and Cyber Security, Principles and Paradigms.",,Springer,978-3-030-22276-5::978-3-030-22277-2,2020,
Connected Health in Smart Cities,,Springer,978-3-030-27843-4::978-3-030-27844-1,2020,
Visual Computing for Cultural Heritage,,Springer,978-3-030-37190-6::978-3-030-37191-3,2020,
Contemporary Empirical Methods in Software Engineering,,Springer,978-3-030-32488-9::978-3-030-32489-6,2020,
Handbook of Big Data Privacy.,,Springer,978-3-030-38556-9::978-3-030-38557-6,2020,
Real-time Linked Dataspaces - Enabling Data Ecosystems for Intelligent Systems,,Springer,978-3-030-29664-3::978-3-030-29665-0,2020,
Einsichten eines Informatikers von geringem Verstande - Glossen aus dem Informatik Spektrum,Reinhard Wilhelm,Springer,978-3-658-28385-8::978-3-658-28386-5,2020,
"A Guided Tour of Artificial Intelligence Research: Volume I: Knowledge Representation, Reasoning and Learning",,Springer,978-3-030-06163-0::978-3-030-06164-7,2020,
Adaptive Autonomous Secure Cyber Systems.,,Springer,978-3-030-33431-4::978-3-030-33432-1,2020,
"Network-Oriented Modeling for Adaptive Networks: Designing Higher-Order Adaptive Biological, Mental and Social Network Models",Jan Treur,Springer,978-3-030-31444-6::978-3-030-31445-3,2020,
Domain Adaptation for Visual Understanding,,Springer,978-3-030-30670-0::978-3-030-30671-7,2020,
Unimagined Futures - ICT Opportunities and Challenges,,Springer,978-3-030-64245-7::978-3-030-64246-4,2020,
A Guided Tour of Artificial Intelligence Research: Volume III: Interfaces and Applications of Artificial Intelligence,,Springer,978-3-030-06169-2::978-3-030-06170-8,2020,
"Metrics of Sensory Motor Coordination and Integration in Robots and Animals - How to Measure the Success of Bioinspired Solutions with Respect to their Natural Models, and Against More 'Artificial' Solutions?",,Springer,978-3-030-14124-0::978-3-030-14126-4,2020,
The Future of Software Quality Assurance.,,Springer,978-3-030-29508-0::978-3-030-29509-7,2020,
"Convergence of Artificial Intelligence and the Internet of Things - Technology, Communications and Computing",,Springer,978-3-030-44906-3::978-3-030-44907-0,2020,
"Big Data Analytics for Time-Critical Mobility Forecasting, From Raw Data to Trajectory-Oriented Mobility Analytics in the Aviation and Maritime Domains.",,Springer,978-3-030-45163-9::978-3-030-45164-6,2020,
Foundations of Data Visualization.,,Springer,978-3-030-34443-6::978-3-030-34444-3,2020,
"Rückblick auf die Anfänge der Münchner Informatik: Dokumente, Belege, Veröffentlichungen und Erinnerungen von früh und lange Beteiligten.",Gunther Schmidt 0001,Springer,978-3-658-28754-2::978-3-658-28755-9,2020,
"Beyond Planar Graphs, Communications of NII Shonan Meetings.",,Springer,978-981-15-6532-8::978-981-15-6533-5,2020,
Integration of WSN and IoT for Smart Cities,,Springer,978-3-030-38515-6::978-3-030-38516-3,2020,
Smart Service Management - Design Guidelines and Best Practices,,Springer,978-3-030-58181-7::978-3-030-58182-4,2020,
Security Infrastructure Technology for Integrated Utilization of Big Data - Applied to the Living Safety and Medical Fields,,Springer,978-981-15-3653-3::978-981-15-3654-0,2020,
"Innovation Practices for Digital Transformation in the Global South - IFIP WG 13.8, 9.4, Invited Selection",,Springer,978-3-031-12824-0::978-3-031-12825-7,2022,
Algebraic Specification Techniques in Object Oriented Programming Environments,Ruth Breu,Springer,3-540-54972-2,1991,228
The Critical Success Factors of Green Supply Chain Management in Emerging Economies,Syed Abdul Rehman Khan,Springer,978-3-030-42741-2,2020,250
Distributed Machine Learning and Gradient Optimization,Jiawei Jiang 0001::Bin Cui 0001::Ce Zhang 0001,Springer,978-981-16-3419-2,2022,169
Marginal Space Learning for Medical Image Analysis - Efficient Detection and Segmentation of Anatomical Structures,Yefeng Zheng 0001::Dorin Comaniciu,Springer,978-1-4939-0599-7::978-1-4939-0600-0,2014,261
"Übersetzerbau - Techniken, Werkzeuge, Anwendungen",Ralf Hartmut Güting::Martin Erwig,Springer,3-540-65389-9,1999,
Resource Management and Performance Analysis of Wireless Communication Networks,Shunfu Jin::Wuyi Yue,Springer,978-981-15-7755-0,2021,422
B2B Integration: Concepts and Architecture,Christoph Bussler,Springer,3-540-43487-9,2003,418
Fast and Scalable Cloud Data Management,Felix Gessert::Wolfram Wingerath::Norbert Ritter,Springer,978-3-030-43505-9,2020,193
Key 5G Physical Layer Technologies - Enabling Mobile and Fixed Wireless Access,Douglas H. Morais,Springer,978-3-030-51440-2,2020,284
User Experience + Artificial Intelligence - Assessing the Qualities of AI-infused Systems,Davide Spallazzo::Martina Sciannamè::Mauro Ceconello,Springer,978-3-031-77520-8,2025,107
The Python Workbook - A Brief Introduction with Exercises and Solutions,Ben Stephenson,Springer,978-3-319-14239-5::978-3-319-14240-1,2014,159
